'MovingSofa.sofaConstant_le_two_mul_sqrt_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'MovingSofa.sofaConstant_ne_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hallway_eq_diff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.suppHallway_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.subset_suppHallway' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.rot_eq_rotation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_rotationAngle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.continuous_supportFn' depends on axioms: [propext, Classical.choice, Quot.sound]
'MovingSofa.IsMovingSofa.isBounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'MovingSofa.IsMovingSofa.subset_suppHallway' depends on axioms: [propext, Classical.choice, Quot.sound]
'MovingSofa.IsMovingSofa.subset_monotoneHull' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.continuous_motion_of_continuous_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isMovingSofa_hammersleySofa' depends on axioms: [propext, Classical.choice, Quot.sound]
'MovingSofa.pi_div_two_add_two_div_pi_le_sofaConstant' depends on axioms: [propext, Classical.choice, Quot.sound]
'MovingSofa.ofReal_two_point_two_lt_sofaConstant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.stdPos_tr_stdVec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsSofaWithAngle.subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isConnected_Imono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isSofaWithAngle_of_subset_suppHallway' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsSofaWithAngle.Imono_props' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsSofaWithAngle.isCap_Ccap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsSofaWithAngle.Imono_eq_Ccap_sdiff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsMonotoneSofa.eq_Ccap_sdiff_niche' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsSofaWithAngle.Imono_Imono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsSofaWithAngle.eq_Imono_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_rotationAngle_mem_of_volume_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.niche_eq_iUnion_wedge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.cornerA_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.cornerC_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.gapW_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.gapZ_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.mem_of_bottom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.wedge_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.cornerA_not_mem_niche' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.cornerC_not_mem_niche' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isOpen_setOf_edge_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.isConnected_upperBdry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.upperBdry_eq_relFrontier' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.tfae_niche_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.niche_subset_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsMonotoneSofa.volume_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsMonotoneSofa.sofaArea_Ccap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edge_eq_segment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtxP_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtxM_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtxP_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtxM_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtx2_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtx2_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivWithinAt_supportFn_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivWithinAt_supportFn_Iio' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_mirror_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.niche_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.image_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.wedge_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.cornerA_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_supportFn_sub_le_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.subset_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.mem_of_closedBall_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.isBounded_niche' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsCap.sofaArea_le_polySofaArea' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_eq_lintegral_slice' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measurableSet_nefSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_slice_symmDiff_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_pushed_sdiff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivWithinAt_volume_pushed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sub_eq_sum_mul_measureReal_activeSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sum_volume_activeSet_inter' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_between_Icc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.polyCap_eq_capH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.polyNiche_eq_nicheH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.polySofaArea_eq_areaH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivAt_areaH_push' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sum_sigmaH_sub_tauH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_tauH_lt_sigmaH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isPolyCap_capH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.areaH_transH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.areaH_le_areaH_supportFn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.posR_subset_posU' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_isPolyCap_push' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsMaxPolyCap.balanced' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_activeSet_gfn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.polyNiche_subset_of_balanced' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.oω_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.width_le_of_area_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_areaH_of_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_isMaxPolyCap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.quarter_le_polySofaArea_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.le_volume_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.eventually_volume_le_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.eventually_le_volume_of_eventually_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isCap_of_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_mem_uniformAngles' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.eventually_mem_polyNiche' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isPolyCap_polyCap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.supportFn_polyCap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_isBalancedMaxCap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsBalancedMaxCap.niche_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsBalancedMaxCap.isMax' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.gapWinf_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.gapWinf_le_supportFn_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_gapW_sub_gapW_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.gapWinf_sub_le_gapWinf' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.actF_pi_div_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.gapWinf_le_tauH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.supportFn_left_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.pt_one_mem_of_mem_Icc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsMaxPolyCap.mem_top_segment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsBalancedMaxCap.oω_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsBalancedMaxCap.mem_top_segment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_between_restrict' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_para_gt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_para_le_cw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_para' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_le_of_supportFn_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.dmin_mul_cos_le_sin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_lt_of_supportFn_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.one_lt_dmin_mul_sin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.dmin_ineq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sub_mem_uniformAngles' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsPolyCap.image_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsMaxPolyCap.image_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsBalancedMaxCap.image_mirror' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.le_gapWinf_of_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.wedge_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_wedge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_eq_coord' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.mem_niche_of_coord_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.width_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cw_le_coord_of_not_mem_niche' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_sub_le_one_of_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.supportFn_add_supportFn_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.supportFn_rot_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.rigid_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.continuous_rigid' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.coord_rot_add_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.coord_rot_add_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.isSofaWithAngle_rot_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_rot_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsBalancedMaxCap.exists_monotoneSofa_pi_div_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.monotone_of_locally' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cos_mul_inner_vtxP_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_sub_v_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_sub_u_le_tan' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.arcFn_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.arcFn_right_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaK_Ioc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaK_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_sub_v_le_arcFn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.arcFn_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_inner_v_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_defect_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.inner_vtxP_sub_eq_setIntegral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_sub_eq_setIntegral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.outerCorner_eq_vtxP_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.outerCorner_eq_vtxP_add'' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.armGp_eq_setIntegral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.intervalIntegrable_edgeMax' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.supportFn_sub_eq_intervalIntegral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.armGp_eq_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaK_Ioc_toReal_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivAt_u' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivAt_v' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivWithinAt_outerCorner' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.hasDerivWithinAt_innerCorner' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.IsInjectiveCap.inner_deriv_innerCorner' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.m0_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.m0_of_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.m0_of_mem_Icc_one_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.m0_of_two_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.m0_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edge_eq_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_hausdorffDist_edge_subset_ball' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_vtxP_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_edgeMax_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_primitive_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_arcFn_of_tendsto_hausdorffDist' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tendsto_sigmaK_Ioc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_stdTri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.det_triLin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.measureReal_triAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tri_subset_of_convex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_nonneg_of_mem_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_cramer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.exists_smul_of_cross_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.wedgeC_subset_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.wedgeC_subset_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_setOf_cross_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_sector_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_eq_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_cross_vtxP_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.mem_wedgeC_decomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sector_subset_tri_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_sector_squeeze' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.vtxP_eq_of_arcFn_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.cross_vtxP_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.curveG_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.abs_curveG_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.secR_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.secR_eq_zero_of_arcFn_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.local_geom' depends on axioms: [propext, Classical.choice, Quot.sound]
